ALD;COST IN CLOUD;NU;MT
59.96901292693504;61184.19999999639;22412.336;3.3600000000000025
67.11782555421978;52627.59999999631;22567.836;3.3600000000000025
17.734238266178643;359099.0000000006;23198.336;3.3600000000000025
55.86453971492347;17778.599999996073;22402.836;3.3600000000000025
17.860072073351613;420447.00000000047;23930.336;3.3600000000000025
152.82996011819822;24895.999999996453;20209.336;3.3600000000000025
64.88509597418043;57401.399999996254;22730.836;3.3600000000000025
67.64578214583435;48042.99999999623;22382.32;3.2000000000000024
142.76911669328652;33955.599999996375;20122.836;3.3600000000000025
62.97385810902031;61482.999999996304;22406.836;3.3600000000000025
69.20122309402691;69900.19999999643;22949.336;3.3600000000000025
18.473083850866523;261797.20000000147;23630.336;3.3600000000000025
