ALD;COST IN CLOUD;NU;MT
22.370033403580173;206265.39999999906;24289.512;5.12
18.74650672133002;284552.60000000184;23675.512;5.12
22.53969462306497;180134.63999999824;24102.012;5.12
203.61078260755895;45403.59999999682;18251.512;5.12
18.143803000652053;311802.8000000018;23811.512;5.12
18.876241388585672;213774.60000000006;23133.012;5.12
19.122338773181415;368627.1600000015;23751.012;5.12
57.99070257446606;18164.599999996022;22768.012;5.12
71.23518592200179;18176.999999996042;22905.012;5.12
62.976379224280464;61731.999999996304;23066.512;5.12
19.087000833235074;314919.0000000014;23534.512;5.12
68.18700072891794;79992.39999999653;23287.012;5.12
65.61013634092532;22407.999999996053;23011.012;5.12
17.878082706766612;399914.96000000025;23705.012;5.12
73.89268914429914;22258.599999996073;23338.512;5.12
19.194551201340076;303112.9600000012;23724.512;5.12
