ID,Latitude,Longitude,Block,Level,Parent,State,Details
85,-37.8164147,144.9668194,1,2,1,VIC,Block 1 Gateway
86,-37.8172792,144.9672271,1,2,1,VIC,Block 1 Gateway
11,-37.809835,144.9640728,1,2,1,VIC,Block 1 Gateway
87,-37.8117644,144.9651243,1,2,1,VIC,Block 1 Gateway
88,-37.8106185,144.9644678,1,2,1,VIC,Block 1 Gateway
89,-37.8126359,144.965369,1,2,1,VIC,Block 1 Gateway
90,-37.8135513,144.9658411,1,2,1,VIC,Block 1 Gateway
91,-37.8146023,144.9663561,1,2,1,VIC,Block 1 Gateway
92,-37.8156702,144.9669354,1,2,1,VIC,Block 1 Gateway
93,-37.8165856,144.9673217,1,2,1,VIC,Block 1 Gateway
12,-37.8098181,144.9664761,1,2,1,VIC,Block 1 Gateway
94,-37.8107278,144.9669696,1,2,1,VIC,Block 1 Gateway
95,-37.8117619,144.9674417,1,2,1,VIC,Block 1 Gateway
96,-37.812779,144.9679138,1,2,1,VIC,Block 1 Gateway
97,-37.81383,144.9683,1,2,1,VIC,Block 1 Gateway
98,-37.8146606,144.9686863,1,2,1,VIC,Block 1 Gateway
99,-37.8157875,144.9692442,1,2,1,VIC,Block 1 Gateway
100,-37.8165842,144.9696304,1,2,1,VIC,Block 1 Gateway
13,-37.8090043,144.9665834,1,2,1,VIC,Block 1 Gateway
101,-37.8110084,144.9675363,1,2,1,VIC,Block 1 Gateway
102,-37.8099235,144.9670642,1,2,1,VIC,Block 1 Gateway
103,-37.8119069,144.9678796,1,2,1,VIC,Block 1 Gateway
104,-37.8128393,144.968416,1,2,1,VIC,Block 1 Gateway
105,-37.8138055,144.9689525,1,2,1,VIC,Block 1 Gateway
106,-37.8148735,144.9693816,1,2,1,VIC,Block 1 Gateway
107,-37.8158397,144.9697464,1,2,1,VIC,Block 1 Gateway
14,-37.8090891,144.9688579,1,2,1,VIC,Block 1 Gateway
108,-37.8100497,144.96933,1,2,1,VIC,Block 1 Gateway
109,-37.8110329,144.969845,1,2,1,VIC,Block 1 Gateway
110,-37.8121517,144.9702098,1,2,1,VIC,Block 1 Gateway
111,-37.8131011,144.9708106,1,2,1,VIC,Block 1 Gateway
112,-37.8139317,144.9711968,1,2,1,VIC,Block 1 Gateway
113,-37.8149908,144.9716903,1,2,1,VIC,Block 1 Gateway
114,-37.8159062,144.9720551,1,2,1,VIC,Block 1 Gateway
15,-37.8082923,144.9691798,1,2,1,VIC,Block 1 Gateway
115,-37.8103134,144.9700039,1,2,1,VIC,Block 1 Gateway
116,-37.8091437,144.9695104,1,2,1,VIC,Block 1 Gateway
117,-37.8110932,144.970433,1,2,1,VIC,Block 1 Gateway
118,-37.8121273,144.9709051,1,2,1,VIC,Block 1 Gateway
119,-37.8130936,144.9713128,1,2,1,VIC,Block 1 Gateway
120,-37.8141785,144.9718063,1,2,1,VIC,Block 1 Gateway
121,-37.815043,144.972214,1,2,1,VIC,Block 1 Gateway
16,-37.8084279,144.9714328,1,2,1,VIC,Block 1 Gateway
122,-37.8092529,144.9718835,1,2,1,VIC,Block 1 Gateway
123,-37.8103887,144.9724199,1,2,1,VIC,Block 1 Gateway
124,-37.811338,144.9727847,1,2,1,VIC,Block 1 Gateway
125,-37.8123043,144.9733211,1,2,1,VIC,Block 1 Gateway
126,-37.8132367,144.9737503,1,2,1,VIC,Block 1 Gateway
127,-37.8142789,144.9741794,1,2,1,VIC,Block 1 Gateway
128,-37.8151095,144.9745442,1,2,1,VIC,Block 1 Gateway
