ID,Latitude,Longitude,Block,Level,Parent,State,Details
0,-37.8136,144.9631,0,0,-1,VIC,Cloud Data Center
1,-37.8133123,144.9517062,1,1,0,VIC,Block 1 Proxy
17,-37.8152304,144.9526737,1,2,1,VIC,Block 1 Gateway
30,-37.8202155,144.9571614,1,2,1,VIC,Block 1 Gateway
5,-37.811971,144.9566485,5,1,0,VIC,Block 5 Proxy
46,-37.8139035,144.9575926,5,2,5,VIC,Block 5 Gateway
48,-37.8157343,144.9585153,5,2,5,VIC,Block 5 Gateway
50,-37.8177345,144.9594809,5,2,5,VIC,Block 5 Gateway
7,-37.8112421,144.9591161,7,1,0,VIC,Block 7 Proxy
64,-37.8171073,144.9619056,7,2,7,VIC,Block 7 Gateway
66,-37.8121517,144.96197,7,2,7,VIC,Block 7 Gateway
68,-37.8142199,144.9628927,7,2,7,VIC,Block 7 Gateway
70,-37.8160676,144.9637295,7,2,7,VIC,Block 7 Gateway
72,-37.8180251,144.9646737,7,2,7,VIC,Block 7 Gateway
9,-37.8105301,144.9616052,9,1,0,VIC,Block 9 Proxy
74,-37.8124965,144.9626137,9,2,9,VIC,Block 9 Gateway
76,-37.8143104,144.9634506,9,2,9,VIC,Block 9 Gateway
78,-37.8163445,144.9644376,9,2,9,VIC,Block 9 Gateway
80,-37.8114059,144.9645664,9,2,9,VIC,Block 9 Gateway
82,-37.8135079,144.9654462,9,2,9,VIC,Block 9 Gateway
84,-37.8153556,144.9663045,9,2,9,VIC,Block 9 Gateway
86,-37.8172792,144.9672271,9,2,9,VIC,Block 9 Gateway
11,-37.809835,144.9640728,11,1,0,VIC,Block 11 Proxy
87,-37.8117644,144.9651243,11,2,11,VIC,Block 11 Gateway
90,-37.8135513,144.9658411,11,2,11,VIC,Block 11 Gateway
92,-37.8156702,144.9669354,11,2,11,VIC,Block 11 Gateway
94,-37.8107278,144.9669696,11,2,11,VIC,Block 11 Gateway
96,-37.812779,144.9679138,11,2,11,VIC,Block 11 Gateway
98,-37.8146606,144.9686863,11,2,11,VIC,Block 11 Gateway
100,-37.8165842,144.9696304,11,2,11,VIC,Block 11 Gateway
13,-37.8090043,144.9665834,13,1,0,VIC,Block 13 Proxy
101,-37.8110084,144.9675363,13,2,13,VIC,Block 13 Gateway
104,-37.8128393,144.968416,13,2,13,VIC,Block 13 Gateway
106,-37.8148735,144.9693816,13,2,13,VIC,Block 13 Gateway
108,-37.8100497,144.96933,13,2,13,VIC,Block 13 Gateway
110,-37.8121517,144.9702098,13,2,13,VIC,Block 13 Gateway
112,-37.8139317,144.9711968,13,2,13,VIC,Block 13 Gateway
114,-37.8159062,144.9720551,13,2,13,VIC,Block 13 Gateway
15,-37.8082923,144.9691798,15,1,0,VIC,Block 15 Proxy
115,-37.8103134,144.9700039,15,2,15,VIC,Block 15 Gateway
118,-37.8121273,144.9709051,15,2,15,VIC,Block 15 Gateway
120,-37.8141785,144.9718063,15,2,15,VIC,Block 15 Gateway
122,-37.8092529,144.9718835,15,2,15,VIC,Block 15 Gateway
124,-37.811338,144.9727847,15,2,15,VIC,Block 15 Gateway
126,-37.8132367,144.9737503,15,2,15,VIC,Block 15 Gateway
128,-37.8151095,144.9745442,15,2,15,VIC,Block 15 Gateway
19,-37.8172391,144.9535964,1,2,1,VIC,Block 1 Gateway
28,-37.81826,144.9562837,1,2,1,VIC,Block 1 Gateway
26,-37.8164293,144.9553825,1,2,1,VIC,Block 1 Gateway
24,-37.8143951,144.9544813,1,2,1,VIC,Block 1 Gateway
21,-37.8191545,144.9544547,1,2,1,VIC,Block 1 Gateway
44,-37.8195167,144.9595882,3,2,3,VIC,Block 3 Gateway
42,-37.8175084,144.9588372,3,2,3,VIC,Block 3 Gateway
40,-37.8156438,144.9579789,3,2,3,VIC,Block 3 Gateway
38,-37.8135757,144.9570347,3,2,3,VIC,Block 3 Gateway
36,-37.8185143,144.9570133,3,2,3,VIC,Block 3 Gateway
34,-37.8163954,144.9561121,3,2,3,VIC,Block 3 Gateway
32,-37.8147172,144.9552538,3,2,3,VIC,Block 3 Gateway
3,-37.8125982,144.9542667,3,1,0,VIC,Block 3 Proxy
58,-37.8187879,144.9622275,5,2,5,VIC,Block 5 Gateway
60,-37.8131577,144.9601246,7,2,7,VIC,Block 7 Gateway
62,-37.8150054,144.9609615,7,2,7,VIC,Block 7 Gateway
56,-37.8167795,144.9613263,5,2,5,VIC,Block 5 Gateway
54,-37.8149488,144.9604894,5,2,5,VIC,Block 5 Gateway
52,-37.8128807,144.9595668,5,2,5,VIC,Block 5 Gateway
