ALD;COST IN CLOUD;NU;MT
446.99219242425085;465891.7964749247;336396.258;32.57999999999949
447.5931264729715;504278.5091804707;347674.282;32.81999999999948
446.7216709607131;509351.4661242088;339492.234;32.33999999999949
443.9859493912274;505362.16309279436;345165.838;33.37999999999947
438.3057055435862;453376.42566643906;342059.766;32.659999999999485
436.2953999117679;474609.0184597054;331391.766;32.659999999999485
440.9182595983991;451386.39399855875;326584.75;32.49999999999949
435.0337744128047;432108.76778867864;314871.758;32.57999999999949
448.15623779738365;483446.48264546576;339512.242;32.41999999999949
433.3791384925319;491941.45601237216;330097.75;32.49999999999949
442.09895456491716;464970.65149112546;337573.274;32.73999999999948
