ALD;COST IN CLOUD;NU;MT
87.68127126081639;17864.29499999633;22788.204;2.0400000000000014
85.00269933211725;17626.69499999647;23157.204;2.0400000000000014
79.30519969575253;17813.93785713924;22646.204;2.0400000000000014
45.31899637279642;9258.819115753955;8036.204;2.0400000000000014
78.14652897171666;17122.052142853638;22714.704;2.0400000000000014
72.1522240085745;2316.472813504779;895.204;2.0400000000000014
38.32322339519926;13270.565418004971;6857.204;2.0400000000000014
77.29305293811602;17739.152142853483;22651.704;2.0400000000000014
62.83962680261601;18545.151591637143;14994.204;2.0400000000000014
47.49631057648113;13901.380714282925;15064.204;2.0400000000000014
