ALD;COST IN CLOUD;NU;MT
226.7710203169609;659832.47201503;223447.0;0.0
226.8162890787448;663068.5335324779;223629.0;0.0
226.9391781068886;671890.4131306815;222812.0;0.0
226.93569807106707;683566.5806308505;223129.0;0.0
226.73190344739024;651664.5778852525;224630.5;0.0
226.9546924444978;668491.7849380828;224980.5;0.0
226.76106508352046;680293.2974164931;223658.0;0.0
226.92077462395508;672074.5297154334;221956.0;0.0
226.81716885488157;672675.6065251807;222727.0;0.0
226.7211290517265;659784.6379535643;223355.5;0.0
