ALD;COST IN CLOUD;NU;MT
66.22101203747752;20965.799999995277;23510.0;0.0
75.44325175941853;21513.59999999514;23576.0;0.0
77.82507544899669;21812.399999995054;23738.5;0.0
75.37706435270923;21712.799999995113;24131.0;0.0
78.92279245049323;21911.99999999508;24105.0;0.0
71.69844738275934;21115.199999995202;23517.0;0.0
80.41681243915102;22011.59999999502;23796.5;0.0
71.67785553115938;20965.79999999525;23208.0;0.0
77.06808390643208;21613.199999995137;23736.5;0.0
77.13971073808452;21862.199999995093;24151.5;0.0
