ALD;COST IN CLOUD;NU;MT
412.6460220140969;257539.0708936607;161961.584;0.8400000000000004
424.58715478123025;219940.10781323764;161504.084;0.8400000000000004
264.75903150070985;240235.48714357227;168464.084;0.8400000000000004
253.2441753672212;216497.00366135465;109422.084;0.8400000000000004
429.8761740611639;223982.53953222366;162295.584;0.8400000000000004
414.6246860480268;205782.28254571022;160337.084;0.8400000000000004
409.73620642649223;232421.91082668136;163380.084;0.8400000000000004
431.20652116719555;276835.9531705089;162477.584;0.8400000000000004
258.24944486885124;289440.22620604926;164301.584;0.8400000000000004
432.3329034209756;242151.25116153582;160535.584;0.8400000000000004
406.4631313550403;225594.85785809325;163950.084;0.8400000000000004
426.6340296941022;248819.54174210635;161440.584;0.8400000000000004
419.18998932075954;232637.8120320771;162432.584;0.8400000000000004
407.63197651104497;251897.69082668386;161174.084;0.8400000000000004
252.74694310546047;201676.7017863077;108103.084;0.8400000000000004
413.38377382290776;241258.32649667136;161523.584;0.8400000000000004
604.9872387295108;201574.7317414295;123943.084;0.8400000000000004
412.3725215686733;230395.57618395364;163091.584;0.8400000000000004
427.3548873903293;251100.08308145864;160941.584;0.8400000000000004
410.62785718338796;226092.7369875411;163173.084;0.8400000000000004
