ALD;COST IN CLOUD;NU;MT
683.0150784222967;39241.494999994124;56716.0;0.0
688.6665068874371;35190.61499999779;56301.0;0.0
434.31505627881205;23481.023571423677;33571.0;0.0
96.29312500000015;7396.494999999861;1988.436;9.359999999999957
103.18672730562021;47298.209775680676;49884.5;0.0
34.39220133667486;9437.423571426845;4617.62;1.2000000000000004
187.17806198868462;58055.90936762602;48751.0;0.0
254.06088968669428;522080.3322353039;364290.0;0.0
79.295326412564;17716.137857139238;22941.288;2.8800000000000017
88.07474151184176;31405.13785713913;24330.0;0.0
66.65349560235293;18164.337857139184;24283.0;0.0
83.69163588569307;17769.45214285347;22752.632;1.3200000000000005
485.78605163064447;577657.2175643253;608828.0;0.0
252.6665820732975;509573.57042721263;365006.5;0.0
489.9209074437814;75659.23999999519;37430.5;0.0
102.0095337535615;60808.34533072519;50411.0;0.0
24.513265306122033;9975.623571426728;4725.524;0.24000000000000002
26.31779797125907;9487.223571426808;4563.56;0.6
25.132422723474978;9876.023571426751;4619.0;0.0
24.49426518883372;9786.023571426738;4698.656;1.5600000000000007
