ALD;COST IN CLOUD;NU;MT
28.147402619737285;699486.9600000021;23488.8;7.9999999999999885
25.556864166625616;43377.799999994284;23703.8;7.999999999999996
26.298723808545983;689499.3600000023;22953.3;7.9999999999999885
24.403667310932192;712727.7600000016;23064.3;7.9999999999999885
25.57136850554968;708494.0000000016;23252.3;7.999999999999992
27.174513620238933;738222.5546409459;23897.3;7.9999999999999885
26.449870597391108;729112.1600000022;23767.3;7.999999999999996
27.242648148574936;693325.000000002;23703.8;7.999999999999996
26.249537196064516;696101.6000000008;23382.3;7.999999999999996
28.565223901432326;637681.5600000005;23298.8;7.999999999999992
27.023649293401693;728816.9546409453;23599.8;7.999999999999992
26.876458998932208;680788.3600000007;23248.8;7.999999999999992
