ALD;COST IN CLOUD;NU;MT
514.4911607114673;490891.1660275502;449801.542;50.41999999999942
501.52076988698093;520607.81675183884;448963.542;50.41999999999942
518.0355899432022;509048.8854650099;455551.018;50.17999999999944
504.37355633750514;473873.8856982702;442492.55;50.49999999999942
533.8746391878266;540575.7321241607;458220.55;50.499999999999424
490.1605536366034;500729.63901442976;421330.002;50.01999999999944
499.02217440669244;465229.6469670965;433104.51;50.09999999999943
486.8626914738226;516615.077067244;395940.534;50.339999999999435
491.3171893542913;484066.71507456957;436159.034;50.33999999999943
499.74272795097704;513418.884943943;439154.018;50.179999999999424
