ALD;COST IN CLOUD;NU;MT
106.0619845344754;30793.079999995694;33133.94;14.399999999999869
86.28407754556264;17728.799999996034;27174.94;14.399999999999869
102.49863077677114;45801.01063236443;32109.536;15.359999999999848
100.1366163405041;25039.719999995752;28898.472;14.719999999999862
97.64920834972068;53461.119999996205;30539.504;15.039999999999855
97.82807223410327;18883.439999996033;29655.004;15.039999999999855
98.75532208042635;60100.65191853824;30229.472;14.719999999999862
94.78142057621879;36777.35999999593;28458.536;15.359999999999848
105.93842787398367;87231.39999999592;34296.004;15.039999999999855
98.80191439560863;54696.63999999584;33758.44;14.399999999999869
73.79612208660424;51389.59999999553;30030.504;15.039999999999855
