ALD;COST IN CLOUD;NU;MT
372.8597285715743;439777.4971197622;267813.526;40.25999999999932
367.73091726136437;388838.79940554145;259347.526;40.25999999999932
370.40607630238213;368157.9955668108;264375.026;40.25999999999932
372.12805064003777;377886.0335143378;259182.026;40.25999999999932
369.81090686900706;395083.1074331796;260787.526;40.25999999999932
367.00964448036115;386374.0553703273;265375.026;40.25999999999932
376.93338955397746;431828.39438447304;264971.026;40.25999999999932
370.23683173197463;420797.57581259473;265871.026;40.25999999999932
367.6538462010399;436364.4197113664;270371.026;40.25999999999932
371.0156798691086;384299.29879940447;249258.526;40.25999999999932
