ALD;COST IN CLOUD;NU;MT
63.12501796927499;16184.999999996382;20003.092;5.919999999999962
59.828180512893375;16981.79999999621;20541.092;5.919999999999962
73.84291866592284;15089.399999996676;19129.076;5.759999999999965
69.37539939253145;15537.599999996533;19262.076;5.759999999999965
66.40707083454551;16433.999999996337;20824.108;6.079999999999958
77.60356415851462;13844.399999996916;17753.592;5.919999999999962
70.88390839444752;15686.999999996511;19794.076;5.759999999999965
75.66298200153356;15039.599999996624;19643.624;6.239999999999955
80.63426062683277;14690.999999996757;17798.06;5.599999999999969
81.32098645672504;14441.999999996777;18189.576;5.759999999999965
