ALD;COST IN CLOUD;NU;MT
18.992358550780597;725169.9600000017;23762.576;5.760000000000001
21.663784030537233;703474.4000000039;23982.576;5.760000000000001
19.844776270624777;707894.6000000006;24329.076;5.760000000000001
19.188628571428183;729064.6000000008;24056.076;5.760000000000001
19.55869960833516;698598.7600000007;23907.576;5.760000000000001
18.825695666961376;698897.5600000005;23631.076;5.760000000000001
20.98839627622076;720435.800000001;24312.576;5.760000000000001
21.68365571868582;467667.199999999;23654.576;5.760000000000004
20.123642128722768;681047.3600000037;23258.576;5.760000000000001
18.67675133543038;742651.5600000008;23173.076;5.760000000000001
21.827185574832736;441399.7999999984;22743.576;5.760000000000001
22.75260872555555;742198.5600000051;23967.576;5.760000000000001
