ALD;COST IN CLOUD;NU;MT
41.41071428571425;1917.966428571431;565.016;5.15999999999999
36.300739701906096;12325.823571426208;12722.016;5.15999999999999
69.25683277190818;18860.29499999611;22492.016;5.15999999999999
43.73971873332344;14766.023571425587;16330.516;5.159999999999998
60.02690170294413;15314.894999996908;17901.516;5.159999999999989
55.29230693946102;12746.9433264409;14293.516;5.15999999999999
31.235666478552417;9337.823571426894;7886.016;5.15999999999999
40.137012713204406;12565.22357142611;14105.516;5.15999999999999
32.39419565573168;8909.272813503247;9580.016;5.159999999999989
49.14703083696601;13346.423571425948;12463.516;5.159999999999998
